S,Brand,Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
20,Maruti,Maruti S Cross,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5,8.25
21,Audi,Audi A6 2011-2015,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,23.5
22,Hyundai,Hyundai i20 1.2,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80.0,5,1.87
23,Volkswagen,Volkswagen Vento ,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,2.85
24,Honda,Honda City Corporate,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,4.25
25,Nissan,Nissan Micra ,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,4.25
26,Maruti,Maruti Alto K10,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,2.75
27,Honda,Honda WRV i-VTEC,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,9.9
28,Toyota,Toyota Innova 2.5,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102.0,7,4.0
29,Renault,Renault Duster 110PS,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,7.75
30,Toyota,Toyota Corolla Altis,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,6.75
31,Mahindra,Mahindra Ssangyong Rexton,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184.0,7,12.5
32,Audi,Audi A6 2.7,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,11.5
33,Volkswagen,Volkswagen Vento 1.6,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,6.98
34,Maruti,Maruti Wagon R,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061,64.0,5,1.85
35,Maruti,Maruti Vitara Brezza,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,8.63
36,Mahindra,Mahindra KUV 100,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82.0,5,4.85
37,Mercedes-Benz,Mercedes-Benz M-Class ML,Pune,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,28.0
38,Volkswagen,Volkswagen Polo ,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,5.0
39,Maruti,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,1.25
40,Tata,Tata Nano LX,Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4,1.53
41,Mahindra,Mahindra KUV 100,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77.0,6,5.58
42,Hyundai,Hyundai i20 Magna,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,4.74
43,Hyundai,Hyundai Elantra 2.0,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,8.85
44,Toyota,Toyota Corolla Altis,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,10.11
45,Hyundai,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,4.25
46,Toyota,Toyota Innova Crysta,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,10.95
47,Hyundai,Hyundai Xcent 1.1,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71.0,5,3.85
48,Mahindra,Mahindra Thar CRDe,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105.0,6,5.5
49,Audi,Audi A4 2.0,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,21.43
50,Maruti,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74.0,5,4.25
51,Maruti,Maruti Swift Ldi,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75.0,5,3.3
52,Maruti,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74.0,5,3.85
53,Hyundai,Hyundai Grand i10,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82.0,5,3.6
54,Volkswagen,Volkswagen Vento 2013-2015,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,3.99
55,Renault,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5,3.3
56,Hyundai,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,2.07
57,Nissan,Nissan X-Trail SLX,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,7.75
58,Maruti,Maruti Zen Estilo,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5,2.25
59,Toyota,Toyota Innova Crysta,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,16.5
60,Ford,Ford Figo ,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399,68.0,5,2.75
61,Mercedes-Benz,Mercedes-Benz New C-Class,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186.0,5,26.7
62,Mercedes-Benz,Mercedes-Benz New C-Class,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170.0,5,10.0
63,Tata,Tata Indica V2,Chennai,2016,178000,Diesel,Manual,First,25.0,1396,69.0,5,2.5
64,Audi,Audi A4 2.0,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140.0,5,13.5
65,Honda,Honda City ZX,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78.0,5,1.85
66,Maruti,Maruti Ertiga SHVS,Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,8.15
67,Hyundai,Hyundai Creta 1.4,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,10.5
68,Porsche,Porsche Cayenne 2009-2014,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500.0,5,14.5
69,Mahindra,Mahindra XUV500 W8,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140.0,7,9.65
70,Hyundai,Hyundai i10 Sportz,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,3.48
71,Nissan,Nissan Terrano XV,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,6.92
72,Honda,Honda Brio VX,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,6.46
73,Audi,Audi A6 2.0,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,29.5
74,Toyota,Toyota Innova 2.0,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132.0,8,4.5
75,Toyota,Toyota Innova 2.5,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102.0,7,11.75
76,Maruti,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74.0,5,3.75
77,Tata,Tata Zest Revotron,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,4.5
78,Honda,Honda Amaze SX,Kochi,2016,54944,Petrol,Manual,First,18.0,1198,86.7,5,4.82
79,Ford,Ford Figo ,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399,68.0,5,2.8
80,Maruti,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,3.11
81,Honda,Honda City i,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,3.25
82,BMW,BMW 5 Series,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218.0,5,13.9
83,Hyundai,Hyundai i10 Sportz,Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,2.25
84,Hyundai,Hyundai Grand i10,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82.0,5,5.75
85,Honda,Honda Amaze SX,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,5.0
86,Toyota,Toyota Fortuner 4x2,Delhi,2014,107000,Diesel,Manual,First,13.0,2982,168.5,7,16.5
87,Audi,Audi A6 2011-2015,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,39.58
88,Ford,Ford Ecosport 1.5,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,5.5
89,Mahindra,Mahindra XUV500 W8,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140.0,7,8.1
90,Honda,Honda Amaze SX,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,3.5
91,Volkswagen,Volkswagen Polo ,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,2.79
92,Hyundai,Hyundai Verna Transform,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110.0,5,3.45
93,Maruti,Maruti Wagon R,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,4.45
94,Volkswagen,Volkswagen Polo ,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,2.65
95,Hyundai,Hyundai i20 1.4,Pune,2011,78958,Diesel,Manual,Second,23.0,1396,90.0,5,3.8
96,Hyundai,Hyundai i20 Asta,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,4.65
97,Datsun,Datsun GO Plus,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67.0,7,3.95
98,Audi,Audi A4 3.0,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,9.8
99,Hyundai,Hyundai i20 2015-2017,Pune,2009,66000,Petrol,Manual,Second,17.0,1197,80.0,5,2.7
100,Maruti,Maruti Omni 5,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796,35.0,5,2.41
101,Toyota,Toyota Etios Liva,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,3.9
102,Jaguar,Jaguar XF 3.0,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,24.0
103,Mahindra,Mahindra XUV500 W8,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179,140.0,7,5.75
104,Hyundai,Hyundai Verna 1.6,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,5.25
105,Toyota,Toyota Innova Crysta,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,19.25
106,Maruti,Maruti Eeco 5,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73.0,5,3.91
107,Tata,Tata Nano Twist,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,2.15
108,BMW,BMW 3 Series,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190.0,5,20.75
109,Honda,Honda Civic 2006-2010,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130.0,5,3.35
110,Toyota,Toyota Innova 2.5,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,11.11
111,Volvo,Volvo V40 Cross,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150.0,5,20.0
112,Nissan,Nissan Micra XV,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,6.55
113,BMW,BMW 5 Series,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215.0,5,7.0
114,Maruti,Maruti Vitara Brezza,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,7.5
115,Mercedes-Benz,Mercedes-Benz B Class,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5,16.75
116,Hyundai,Hyundai Verna CRDi,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582,126.2,5,10.95
117,Maruti,Maruti Wagon R,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,2.45
118,Tata,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,3.23
119,Mahindra,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120.0,8,7.75
120,Mercedes-Benz,Mercedes-Benz New C-Class,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178.0,5,9.35
121,Maruti,Maruti Wagon R,Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5,3.25
122,Honda,Honda CR-V 2.4,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152.0,5,5.25
123,Volkswagen,Volkswagen Vento 1.5,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,7.25
124,Maruti,Maruti Ciaz VXi,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,7.47
125,Mahindra,Mahindra XUV500 AT,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179,140.0,7,13.25
126,Maruti,Maruti Ritz VXI,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,5.81
127,Maruti,Maruti Alto K10,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,2.6
128,Mercedes-Benz,Mercedes-Benz SLC 43,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2,54.0
129,Hyundai,Hyundai Verna VTVT,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5,11.5
130,Maruti,Maruti Alto LXi,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,1.6
131,BMW,BMW 1 Series,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143.0,5,17.22
132,Honda,Honda Jazz 1.2,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199,88.7,5,6.0
133,Honda,Honda Civic 2006-2010,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130.0,5,3.95
134,Mercedes-Benz,Mercedes-Benz New C-Class,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170.0,5,17.95
135,Honda,Honda Amaze SX,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,3.7
136,Maruti,Maruti Swift VVT,Kochi,2016,34204,Petrol,Manual,First,22.0,1197,81.8,5,5.43
137,Toyota,Toyota Fortuner 3.0,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171.0,7,13.49
138,Chevrolet,Chevrolet Beat LT,Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,2.85
139,Skoda,Skoda Rapid 1.5,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,4.75
140,Maruti,Maruti Ciaz 1.4,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,9.9
141,Audi,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444.0,4,37.0
142,BMW,BMW 3 Series,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190.0,5,26.5
143,Audi,Audi A4 2.0,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,23.32
144,Maruti,Maruti Swift VDI,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74.0,5,6.25
145,Mercedes-Benz,Mercedes-Benz S Class,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,30.0
146,Skoda,Skoda Rapid 1.5,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,9.86
147,Skoda,Skoda Superb Elegance,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,8.5
148,Hyundai,Hyundai EON Magna,Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,4.23
149,Volkswagen,Volkswagen Polo ,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,3.5
150,Datsun,Datsun GO NXT,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,2.5
151,Honda,Honda Brio S,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,2.39
152,Mercedes-Benz,Mercedes-Benz B Class,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,11.25
153,Honda,Honda City i,Kochi,2015,42831,Diesel,Manual,First,26.0,1498,98.6,5,7.11
154,Toyota,Toyota Innova 2.5,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,10.9
155,Maruti,Maruti Swift VXI,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,6.2
156,Mahindra,Mahindra XUV500 W8,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140.0,7,7.9
157,Ford,Ford Ecosport 1.5,Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,4.42
158,Toyota,Toyota Fortuner 4x2,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982,168.5,7,13.5
159,Volkswagen,Volkswagen Vento 1.5,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,6.25
160,Ford,Ford Figo ,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399,68.0,5,2.1
161,BMW,BMW X5 xDrive,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258.0,5,45.0
162,Mercedes-Benz,Mercedes-Benz New C-Class,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,33.66
163,Honda,Honda Brio V,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,3.65
164,Hyundai,Hyundai i10 Magna,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,2.75
165,Mercedes-Benz,Mercedes-Benz GLC 220,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170.0,5,42.5
166,Hyundai,Hyundai Grand i10,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,6.5
167,Audi,Audi A6 2011-2015,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,19.0
168,Volkswagen,Volkswagen Vento ,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,4.45
169,Mini,Mini Countryman Cooper,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112.0,5,23.0
170,Hyundai,Hyundai i20 Asta,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,8.35
171,Audi,Audi A6 2011-2015,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,22.95
172,Chevrolet,Chevrolet Beat ,Jaipur,2012,88000,Diesel,Manual,First,25.44,936,57.6,5,1.5
173,Skoda,Skoda Superb Elegance,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,6.89
174,Ford,Ford Fiesta 1.4,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68.0,5,1.45
175,BMW,BMW 5 Series,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190.0,5,33.5
176,Chevrolet,Chevrolet Optra Magnum,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,1.25
177,Volkswagen,Volkswagen Polo ,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,4.2
178,Renault,Renault Lodgy 110PS,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,6.75
179,Mercedes-Benz,Mercedes-Benz E-Class E250,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143,201.1,5,32.0
180,Maruti,Maruti Baleno Alpha,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,7.5
181,Hyundai,Hyundai Verna 1.6,Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,4.6
182,Hyundai,Hyundai i10 Magna,Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,4.04
183,Mahindra,Mahindra Scorpio 1.99,Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120.0,7,10.31
184,Land,Land Rover Range,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,55.76
185,Ford,Ford Figo ,Chennai,2010,120000,Diesel,Manual,First,20.0,1399,68.0,5,2.6
186,Maruti,Maruti Ertiga ZDI,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,8.5
187,Honda,Honda Amaze S,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5,3.5
188,Hyundai,Hyundai i10 Magna,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5,3.55
189,Honda,Honda Amaze S,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,3.25
190,Skoda,Skoda Laura Ambiente,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,106.0,5,4.5
191,Renault,Renault Duster 85PS,Delhi,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5,5.35
192,Mahindra,Mahindra NuvoSport N6,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100.0,7,6.5
193,Maruti,Maruti Vitara Brezza,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,9.0
194,Hyundai,Hyundai i20 Asta,Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,6.0
195,Skoda,Skoda Fabia 1.4,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,85.0,5,2.75
196,Tata,Tata Indigo eCS,Pune,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5,1.5
197,Audi,Audi Q3 2012-2015,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5,19.9
198,Skoda,Skoda Octavia Elegance,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5,10.0
199,Toyota,Toyota Etios Liva,Delhi,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5,3.0
200,Mercedes-Benz,Mercedes-Benz B Class,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5,11.96
201,Honda,Honda Amaze S,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,3.25
202,Hyundai,Hyundai Verna 1.6,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5,4.75
203,Renault,Renault Duster 85PS,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5,5.95
204,Hyundai,Hyundai Creta 1.6,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5,8.15
205,Maruti,Maruti Wagon R,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,67.0,5,4.22
206,Mercedes-Benz,Mercedes-Benz New C-Class,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,186.0,5,10.5
207,Audi,Audi A8 L,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5,45.0
208,Hyundai,Hyundai i10 Magna,Pune,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5,2.9
209,Skoda,Skoda Rapid 1.6,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5,8.9
210,Skoda,Skoda Superb Style,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5,26.0
211,Hyundai,Hyundai i20 Active,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5,8.22
212,Honda,Honda Amaze VX,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5,3.5
213,Maruti,Maruti Wagon R,Chennai,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5,1.25
214,Mahindra,Mahindra Verito 1.5,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,65.0,5,3.7
215,Mercedes-Benz,Mercedes-Benz New C-Class,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5,39.41
216,Maruti,Maruti Wagon R,Kolkata,2013,32000,Petrol,Manual,First,22.5,998,67.04,5,2.65
217,Nissan,Nissan Terrano XV,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5,8.92
218,Mini,Mini Cooper Convertible,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4,35.67
219,Tata,Tata Indica V2,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5,0.85
220,Chevrolet,Chevrolet Beat LT,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5,3.32
221,Volkswagen,Volkswagen Polo ,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199,73.9,5,3.6
222,Maruti,Maruti Swift ZDi,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248,74.0,5,6.8
223,Ford,Ford Figo ,Kolkata,2012,41284,Diesel,Manual,First,20.0,1399,68.05,5,2.5
224,Toyota,Toyota Innova Crysta,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7,19.64
225,Hyundai,Hyundai Santa Fe,Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199,194.3,7,7.0
226,Honda,Honda City i-VTEC,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497,117.3,5,3.87
227,Hyundai,Hyundai i20 1.2,Kochi,2018,14960,Petrol,Manual,First,18.6,1197,81.83,5,6.27
228,Mercedes-Benz,Mercedes-Benz New C-Class,Kochi,2015,55980,Diesel,Automatic,First,19.27,2143,167.62,5,18.12
229,Chevrolet,Chevrolet Beat ,Mumbai,2013,74000,Diesel,Manual,First,25.44,936,57.6,5,2.65
230,Hyundai,Hyundai i20 Sportz,Kochi,2015,56847,Diesel,Manual,First,22.54,1396,88.73,5,7.2
231,Toyota,Toyota Innova 2.5,Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494,100.6,7,14.3
232,Maruti,Maruti Ertiga VDI,Chennai,2013,52000,Diesel,Manual,First,20.77,1248,88.76,7,6.9
233,Toyota,Toyota Innova 2.5,Mumbai,2014,118000,Diesel,Manual,First,12.8,2494,102.0,7,10.75
